实践是检验真理的唯一标准	plju
建设有中国特色的社会主义	wyey2
压死骆驼的最后一根稻草	dbca
压垮骆驼的最后一根稻草	dfca
Dreamweaver	drer
没有共产党就没有新中国	ierl
PrintScreen	prin
建设有中国特色社会主义	wyey
让暴风雨来得更猛烈些吧	yjnk
山东省农村信用社联合社	maio3
以其人之道还治其人之身	nhwy2
Windows操作系统	wins2
BlackBerry	blay
救人一命胜造七级浮屠	fwgn
一二三四五六七八九十	gfdf
不听老人言吃亏在眼前	gkfu
吃不到葡萄就说葡萄酸	kgas
吃不着葡萄就说葡萄酸	kgps
以小人之心度君子之腹	niwe
OpenOffice	opee
农民金融自助服务终端	pnbu
PowerPoint	powt
ScrollLock	scrk
中国特色社会主义道路	slnl
可怜之人必有可恨之处	snpt
建设中国特色社会主义	wysy
读万卷书不如行万里路	ygxl
主要表现在以下几方面	bsgd2
“三个代表”重要思想	doht3
有中国特色的社会主义	esly2
不知道从什么时候开始	gcqv2
山东东平农村合作银行	maah2
山东泰山农村合作银行	madh2
山东肥城农村合作银行	maeh2
山东宁阳农村合作银行	maph2
山东新泰农村合作银行	mauh2
“公开、公平、公正”	memg2
社会主义市场经济体制	oobl2
中国特色的社会主义	sl5
燕雀安知鸿鹄之志哉	aipj
舍不得孩子套不着狼	bghv
泰山崩于前而色不变	dmmp
有中国特色社会主义	esly
Framework	frak
你妈妈喊你回家吃饭	fvvh
王子犯法与庶民同罪	gbvl
丈二金刚摸不着头脑	gfbe
丈二和尚摸不着头脑	gfte
不积跬步无以至千里	gtlu
林子大了什么鸟都有	mbde
Microsoft	mict
恰似一江春水向东流	nwgi
Panasonic	panc
安能摧眉折腰事权贵	pjrx
家庭联产承包责任制	pobl
FrontPage	proe
搬起石头砸自己的脚	rkde
冰冻三尺非一日之寒	uudp
九百六十万平方公里	vduu
群众的眼睛是雪亮的	vwkk
做一天和尚撞一天钟	wggq
人民的眼睛是雪亮的	wnkk
舍不得孩子套不住狼	bghv2
舍不得孩子套不到狼	bghv3
不知从什么时候开始	gcav2
不以人的意志为转移	gnwt2
不积跬步无以致千里	gtlu2
天将降大任于斯人也	gubm2
跑得了和尚跑不了庙	lhbo3
山东省农村信用联社	maio2
全心全意为人民服务	onot2
社会主义现代化建设	ooby2
Photoshop	phop2
偷鸡不成反蚀一把米	wcgo4
Windows系统	wins3
中国特色社会主义	sl4
萝卜青菜各有所爱	ahgj
萝卜白菜各有所爱	ahkj
燕雀安知鸿鹄之志	aipf
苍蝇不叮无缝的蛋	ajgw
巧妇难为无米之炊	avco
阿拉伯联合酋长国	brwl
CapsLock	capk
知其不可为而为之	chgp
知错能改善莫大焉	cqjg
大规模杀伤性武器	dasx
具有讽刺意味的是	eeyj
具体情况具体分析	ewns
具体问题具体分析	ewus
Explorer	expr
过街老鼠人人喊打	fhfr
求生不得求死不能	fpgj
老鼠过街人人喊打	fvfr
不知从什么时候起	gcak
不知我者谓我何求	gcrf
不达目的誓不罢休	gdhw
一波未平一波又起	gifk
睁一只眼闭一只眼	hgkh
法律面前人人平等	ihdt
只知其一不知其二	kchf
光脚的不怕穿鞋的	kekk
国际货币基金组织	lbhx
跳进黄河也洗不清	lxai
山东东平商业银行	maah
山东泰山商业银行	madh
山东肥城商业银行	maeh
山东省农村信用社	maio
山东宁阳商业银行	maph
山东新泰商业银行	mauh
公开、公平、公正	memg
迅雷不及掩耳之势	nfgh
心急吃不了热豆腐	nqko
以经济建设为中心	nxin
全国人民代表大会	olwo
社会主义市场经济	oobi
PageDown	pagn
成事不足败事有余	pngw
农民自助服务终端	pntu
窈窕淑女君子好逑	ppif
PureView	purw
重大而深远的意义	qddy
与朋友交而不信乎	qedt
多一事不如少一事	qgnn
钢铁是怎样炼成的	qqjk
多多输入法生成器	qqlx
捡了芝麻丢了西瓜	rbao
打一枪换一个地方	rgsp
失败是成功的妈妈	rmjv
持续健康快速发展	rxwn
中国邮政储蓄银行	slnh
中央广播电视大学	smoi
中央人民广播电台	smwc
Sylvanas	syla
和平共处五项原则	tfrm
Thinkpad	thid
瘦死的骆驼比马大	ubkd
北大西洋公约组织	udsx
