床前明月光，\r疑是地上霜。\r举头望明月，\r低头思故乡。\r	jysi
久旱逢甘霖，\r他乡遇故知。\r洞房花烛夜，\r金榜题名时。\r	sdlu
害人之心不可有，防人之心不可无	hrvw
踏破铁鞋无觅处，得来全不费工夫	tptf
先天下之忧而忧，后天下之乐而乐	xtxl
只许州官放火，不许百姓点灯	vxvd
没吃过猪肉，还没见过猪跑	migp
人不可貌相，海水不可斗量	rbkl
不听老人言，吃亏在眼前	btlq
爹死娘嫁人，各人顾各人	dsnr
儿不嫌母丑，狗不嫌家贫	ebxp
过了这个村就没这个店了	glvl
工欲善其事，必先利其器	gyuq
皇帝轮流坐，明年到我家	hdlj
行家一出手，就知有没有	hjyy
吃着碗里的，望着锅里的	ivwd
明知山有虎，偏向虎山行	mvux
你有张良计，我有过墙梯	nyvt
人往高处走，水往低处流	rwgl
人在屋檐下，不得不低头	rzwt
三年清知府，十万雪花银	snqy
台上三分钟，台下十年功	tusg
是福不是祸，是祸躲不过	ufbg
是骡子是马，拉出来溜溜	ulzl
授人以鱼，不如授人以渔	ury_
长他人志气，灭自己威风	vtrf
秀才遇到兵，有理说不清	xcyq
一个唱红脸，一个唱白脸	ygil
欲穷千里目，更上一层楼	yqql
压死骆驼的最后一根稻草	yslc
一朝权在手，便把令来行	yvqx
冰冻三尺，非一日之寒	bdsh
不知道从什么时候开始	bvdu
躲得了初一躲不过十五	ddlw
过了这个村就没这个店	glvd
恨不得有条地缝钻进去	hbdq
鞠躬尽瘁，死而后已。	jgjy
可怜之人必有可恨之处	klvi
林子大了，什么鸟都有	lzdy
人生不如意事十之八九	rubj
圣文森特和格林纳丁斯	uwss
以彼之道还治其人之身	ybvu
夜猫子进宅，无事不来	ymzl
病从口入，祸从口出	bcki
不积跬步无以至千里	bjkl
兵马未动，粮草先行	bmwx
不怕一万，就怕万一	bpyy
不入虎穴，焉得虎子	brhz
被人卖了还帮着数钱	brmq
比上不足，比下有余	buby
不是鱼死，就是网破	buyp
不以物喜，不以己悲	bywb
不在其位，不谋其政	bzqv
百足之虫，死而不僵	bzvj
藏之名山，传之其人	cvmr
当断不断，反受其乱	ddbl
道高一尺，魔高一丈	dgyv
大路朝天，各走一边	dlib
大门不出，二门不迈	dmbm
当面是人，背后是鬼	dmug
大难不死，必有后福	dnbf
端人家碗，受人家管	drjg
大事化小，小事化了	duhl
东向而望，不见西墙	dxeq
打一巴掌，给个甜枣	dybz
当一天和尚撞一天钟	dytv
儿女情长，英雄气短	enqd
饿死事小，失节事大	esud
耳听为虚，眼见为实	etwu
防民之口，甚于防川	fmvi
翻手为云，覆手为雨	fuwy
非我族类，其心必异	fwzy
放下屠刀，立地成佛	fxtf
刚出狼窝，又入虎口	gilk
会的不难，难的不会	hdbh
花开两朵，各表一枝	hklv
吃不到葡萄说葡萄酸	ibds
城门失火，殃及池鱼	imuy
吃人家饭，受人家管	irjg
仇人相见，分外眼红	irxh
楚虽三户，亡秦必楚	issi
成事不足，败事有余	iuby
吃着碗里，望着锅里	ivwl
尺有所短，寸有所长	iysi
成也萧何，败也萧何	iyxh
成则为王，败则为寇	izwk
旧的不去，新的不来	jdbl
嫁鸡随鸡，嫁狗随狗	jjsg
捡了芝麻，丢了西瓜	jlvg
己所不欲，勿施于人	jsbr
近朱者赤，近墨者黑	jvvh
将欲取之，必先予之	jyqv
君子爱财，取之有道	jzad
箭在弦上，不得不发	jzxf
君子一言，驷马难追	jzyv
萝卜青菜，各有所爱	lbqa
老将出马，一个顶俩	ljil
雷霆雨露，皆是君恩	ltye
来者不善，善者不来	lvbl
米粒之珠，也放光华	mlvh
麻雀虽小，五脏俱全	mqsq
谋事在人，成事在天	muzt
木秀于林，风必摧之	mxyv
皮之不存，毛将焉附	pvbf
前不着村，后不着店	qbvd
棋逢对手，将遇良才	qfdc
千金之子，坐不垂堂	qjvt
千军易得，一将难求	qjyq
前人栽树，后人乘凉	qrzl
牵着不走，打着倒退	qvbt
人不犯我，我不犯人	rbfr
人不为己，天诛地灭	rbwm
人过留名，雁过留声	rglu
人若犯我，我必犯人	rrfr
人人为我，我为人人	rrwr
人之将死，其言也善	rvju
人为刀俎，我为鱼肉	rwdr
人无远虑，必有近忧	rwyy
日有所思，夜有所梦	rysm
人在江湖，身不由己	rzjj
三步一岗，五步一哨	sbyu
三分像人，七分像鬼	sfxg
三天打鱼，两天晒网	stdw
螳螂捕蝉，黄雀在后	tlbh
