巧妇难为无米之炊	avco
阿拉伯联合酋长国	brwl
中央人民广播电台	kmwc
敬酒不吃吃罚酒	aigi
聪明反被聪明误	bjry
联产承包责任制	bubr
巴布亚新几内亚	cdgg
有过之而无不及	dfpe
布宜诺斯艾利斯	dpya
有钱能使鬼推磨	dqcy
有缘千里来相会	dxtw
胜败乃兵家常事	emeg
无事不登三宝殿	fggn
十一届三中全会	fgnw
远水救不了近火	fifo
赤橙黄绿青蓝紫	fsah
无可奈何花落去	fsdf
王顾左右而言他	gddw
来而不往非礼也	gdgb
一石激起千层浪	gdii
天涯何处无芳草	giwa
一失足成千古恨	grkn
不管三七二十一	gtdg
天生我材必有用	gtte
一个萝卜一个坑	gwaf
一个巴掌拍不响	gwck
不识庐山真面目	gyyh
此地无银三百两	hffg
小不忍则乱大谋	igvy
冒天下之大不韪	jggj
是可忍孰不可忍	jsvv
中国人民解放军	klwp
中华人民共和国	kwwl
车到山前必有路	lgmk
置之死地而后生	lpgt
赔了夫人又折兵	mbfr
山雨欲来风满楼	mfws
心有灵犀一点通	ndvc
心有余而力不足	ndwk
情人眼里出西施	nwhy
宁夏回族自治区	pdla
初生牛犊不怕虎	ptrh
名不正则言不顺	qggk
解铃还须系铃人	qqgw
打破沙锅问到底	rdiy
挟天子以令诸侯	rgbw
打开天窗说亮话	rggy
近水楼台先得月	rise
横挑鼻子竖挑眼	srth
醉翁之意不在酒	swpi
身在曹营心在汉	tdgi
长江后浪推前浪	tiri
香港特别行政区	tita
竹篮打水一场空	ttrp
新官上任三把火	upho
放之四海而皆准	yplu
广西壮族自治区	ysua
磨刀不误砍柴工	yvga
恭敬不如从命	aagw
英雄所见略同	adrm
斯堪的纳维亚	afrg
世界卫生组织	albx
世界贸易组织	alqx
东北师范大学	auji
出污泥而不染	biii
耳闻不如目见	bugm
陈谷子烂芝麻	bwby
鸡蛋里挑骨头	cnju
有限责任公司	dbgn
有一搭没一搭	dgrr
破题儿第一遭	djqg
太岁头上动土	dmuf
三句不离本行	dqgt
百闻不如一见	dugm
万变不离其宗	dygp
股份有限公司	ewdn
雷声大雨点小	ffdi
井水不犯河水	figi
真金不怕火炼	fqgo
无所不用其极	frgs
远亲不如近邻	fugw
求人不如求己	fwgn
南京师范大学	fyji
天有不测风云	gdgf
天无绝人之路	gfxk
不足为外人道	gkyu
事实胜于雄辩	gpeu
天机不可泄露	gsgf
不可同日而语	gsmy
不得已而为之	gtnp
不登大雅之堂	gwdi
不食人间烟火	gwwo
不费吹灰之力	gxkl
最高人民法院	jywb
唯恐天下不乱	kagt
吃不了兜着走	kgbf
口惠而实不至	kgdg
中国工商银行	klat
中国农业银行	klpt
中国科技大学	klti
中国建设银行	klvt
中国人民银行	klwt
中国人民大学	klwi
内蒙古自治区	mada
山东师范大学	maji
风马牛不相及	mcre
几十年如一日	mfrj
迅雷不及掩耳	nfgb
以不变应万变	ngyy
惶惶不可终日	nngj
敢怒而不敢言	nvdy
精神文明建设	opyy
神圣不可侵犯	pcgq
神不知鬼不觉	pgti
家丑不可外扬	pngr
杀鸡焉用牛刀	qcgv
乌兹别克斯坦	qukf
拆东墙补西墙	raff
反其道而行之	raup
打肿脸充胖子	reeb
手无缚鸡之力	rfxl
热锅上的蚂蚁	rqhj
摸着石头过河	rudi
牛头不对马嘴	rugk
挂羊头卖狗肉	ruum
可望而不可及	syde
可望而不可即	sydv
立于不败之地	uggf
美利坚合众国	utjl
北京师范大学	uyji
九牛二虎之力	vrfl
如入无人之境	vtff
何其相似乃尔	wasq
人有旦夕祸福	wdjp
化干戈为玉帛	wfar
华南师范大学	wfji
人人得而诛之	wwtp
义勇军进行曲	ycpm
高不成低不就	ygdy
苛政猛于虎	agqh
功到自然成	agtd
斯皮尔伯格	ahqs
斯洛文尼亚	aiyg
戈尔巴乔夫	aqcf
若要人不知	aswt
工欲善其事	awug
防患于未然	bkgq
阿尔巴尼亚	bqcg
阿尔及利亚	bqeg
阿拉伯数字	brwp
隔行如隔山	btvm
阿姆斯特丹	bvam
