Ò»	10_
¶þ	110_
Èý	1110
·á	11120
åç	11121
í¹	111212
ñè	111213
ñê	111214
ñë	111215
ñí	111216
ñï	111217
ñð	11121=1
ñò	11121=2
¸û	11122
êü	111222
ÅÕ	11123
ñé	111232
ñì	111233
»Û	11124
·¡	111242
Æõ	111243
ÔÅ	111244
í¢	111245
ñç	111246
ñî	111247
ññ	11124=1
ºÄ	11125
°Ò	111252
¿ï	111253
ÑÞ	111254
´º	11131
ô©	111312
°ï	11132
°î	111322
·î	111323
ÇØ	11134
ÊÙ	111342
Ì©	111343
´À	111344
×à	111345
ìâ	111346
ÓÚ	1120
¸É	11202
Ø¡	11203
Íõ	11210
Àí	11211
Çà	112112
°à	112113
°ß	112114
Éº	112115
º÷	112116
Âê	112117
±Ì	11211=1
æñ	11211=2
çè	11211=3
çê	11211=4
çì	11211=5
çí	11211=6
çó	11211=7
è¢	11211==1
è£	11211==2
è§	11211==3
è©	11211==4
èª	11211==5
è¬	11211==6
è­	11211==7
è´	11211===1
ðÄ	11211===2
ñú	11211===3
öË	11211===4
÷¡	11211===5
¾²	11212
Åª	112122
Èð	112123
Ñþ	112124
çà	112125
çâ	112126
çæ	112127
çð	11212=1
çñ	11212=2
çõ	11212=3
çù	11212=4
è¤	11212=5
è°	11212=6
Õä	11213
çã	112132
±í	11214
Ê½	112142
ËØ	112143
Îä	112144
»·	112145
Çò	112146
¶¾	112147
Âó	11214=1
Óñ	11214=2
Ôð	11214=3
Öé	11214=4
²£	11214=5
Á§	11214=6
°½	11214=7
°¾	11214==1
µå	11214==2
·©	11214==3
¹å	11214==4
¾Á	11214==5
ÀÅ	11214==6
ÁÕ	11214==7
Áá	11214===1
Ãµ	11214===2
Çí	11214===3
Éª	11214===4
Ëö	11214===5
×¸	11214===6
×Á	11214===7
åÛ	11214====1
çä	11214====2
çå	11214====3
çç	11214====4
çé	11214====5
çî	11214====6
çï	11214====7
çò	11214=====1
çö	11214=====2
ç÷	11214=====3
çø	11214=====4
çü	11214=====5
çý	11214=====6
è¡	11214=====7
è¥	11214======1
è¦	11214======2
è¨	11214======3
è«	11214======4
è®	11214======5
è¯	11214======6
è±	11214======7
è²	11214=======1
è³	11214=======2
è¶	11214=======3
éá	11214=======4
ñü	11214=======5
òü	11214=======6
ôî	11214=======7
ôï	11214========1
ÏÖ	11215
Íæ	112152
Áð	112153
ÅÃ	112154
Åý	112155
ÇÙ	112156
çá	112157
çë	11215=1
çú	11215=2
çû	11215=3
çþ	11215=4
ö¦	11215=5
ÓÛ	11221
¿¯	11222
ß°	11224
åÜ	112242
í«	112243
Ää	11225
êí	112252
æË	11231
Ê¾	11234
Ä©	112342
Î´	112343
ÓØ	11244
»÷	11252
Úõ	112522
¿ª	11320
¾®	113202
ØÁ	113203
ÐÍ	11321
ÐÌ	11322
ÐÏ	113222
ÐÎ	11323
½ø	11324
½ä	113242
Ìì	11340
·ò	113402
Ìæ	11341
ÍÌ	113412
éý	11342
²Ï	11344
ãÃ	113442
¹æ	11345
ÎÞ	11350
Ôª	113502
Ô¶	11354
Íç	113542
ÈÖ	113543
ö½	11355
¿÷	1150
Î¤	11520
è¹	11521
èº	115212
Î¥	11524
ÈÍ	115242
ØÐ	11525
Õµ	11531
ê§	11534
×¨	11540
ÔÆ	115402
¶¯	11543
ÔË	11544
»ê	115442
Ê®	120_
¶¡	1202
¹¤	1210
ÍÁ	12102
Ê¿	12103
ÞÐ	12104
¹Ò	12111
Ëþ	121112
´ë	121113
Ç½	121114
Ãè	121115
´î	121116
¶Â	121117
Å÷	12111=1
¹ç	12111=2
¿«	12111=3
¿¸	12111=4
ÀÞ	12111=5
ÍØ	12111=6
Îæ	12111=7
Ô«	12111==1
Ûá	12111==2
Ûë	12111==3
Ûì	12111==4
Ûú	12111==5
Ü§	12111==6
Þ×	12111==7
Þß	12111===1
Þê	12111===2
ß«	12111===3
÷×	12111===4
÷Ø	12111===5
÷Ù	12111===6
´ò	12112
Åõ	121122
¿À	121123
Äì	121124
Åê	121125
Æº	121126
Ëº	121127
ËÁ	12112=1
Û×	12112=2
Üª	12112=3
ÞÞ	12112=4
Þá	12112=5
ß¦	12112=6
ÔØ	12113
ÀÌ	121132
ÛÞ	121133
÷Ô	121134
³Ö	12114
»µ	121142
·â	121143
Ïî	121144
ÕÒ	121145
³Ç	121146
¼¼	121147
ÔÔ	12114=1
Õñ	12114=2
Óò	12114=3
°Î	12114=4
²¶	12114=5
Ãþ	12114=6
Èö	12114=7
Éã	12114==1
·ö	12114==2
¿î	12114==3
ÆÒ	12114==4
Ä¨	12114==5
ÈÅ	12114==6
Ìî	12114==7
ÎÎ	12114===1
²«	12114===2
²ë	12114===3
¹¡	12114===4
¹°	12114===5
º³	12114===6
¼ð	12114===7
½Ý	12114====1
¾ï	12114====2
ÁÃ	12114====3
Â£	12114====4
ÊÃ	12114====5
ËÂ	12114====6
Ì¢	12114====7
Ì³	12114=====1
Ð®	12114=====2
××	12114=====3
×á	12114=====4
ØÔ	12114=====5
Ûâ	12114=====6
Ü¦	12114=====7
Ü«	12114======1
ÞÒ	12114======2
ÞÝ	12114======3
Þà	12114======4
Þé	12114======5
ß¢	12114======6
ß­	12114======7
í£	12114=======1
÷Û	12114=======2
÷Ý	12114=======3
÷Þ	12114=======4
÷ß	12114=======5
Åú	12115
ÇÉ	121152
ÑÚ	121153
¾Ü	121154
