本词库版权归：北京王码网科技有限公司	syod
五笔字型发明人王永民教授	gtpr
实践是检验真理的唯一标准	pkju
建设有中国特色的社会主义	vydy
没有共产党就没有新中国	idal
党的十五届四中全会精神	irfp
中央直属机关工作委员会	kmfw
中央国家机关工作委员会	kmlw
国家自然科学基金委员会	lptw
高举邓小平理论伟大旗帜	yicm
马克思主义的基本原理	cdlg
大字符集五笔字型软件	dptw
五笔字型专利技术公司	gtpn
五笔字型汉字输入技术	gtps
中国国际信托投资公司	klln
中国人民政治协商会议	klwy
以提高经济效益为中心	nryn
数字王码汉字输入技术	opgs
社会主义市场经济体制	pwyr
科学技术是第一生产力	tire
马列主义毛泽东思想	cgys
台湾是中国的一部分	cijw
对外贸易经济合作部	cqqu
有中国特色社会主义	dkly
达尔罕茂明安联合旗	dqpy
三八国际劳动妇女节	dwla
十一届三中全会以来	fgng
王码五笔字型大一统	gdgx
具有十分重要的意义	hdfy
流窜作案的犯罪分子	ipwb
汉字文化的伟大复兴	ipyi
中共中央政治局委员	kakk
中共中央政治局常委	kakt
中国共产主义青年团	klal
中国海洋石油总公司	klin
中国汽车工业联合会	kliw
中国船舶工业总公司	kltn
中国建筑工程总公司	klvn
中国统配煤矿总公司	klxn
中央纪律检查委员会	kmxw
中华民族的伟大复兴	kwni
中华人民共和国主席	kwwo
国际政治经济新秩序	lbgo
国际贸易促进委员会	lbqw
国家工商行政管理局	lpan
国家国有资产管理局	lpln
国家发展计划委员会	lpnw
国家经济贸易委员会	lpxw
司马昭之心路人皆知	ncjt
广大人民的根本利益	odwu
搞活国营大中型企业	rilo
提高经济效益为中心	ryxn
本着实事求是的原则	supm
半殖民地半封建社会	ugnw
北京王码电脑总公司	uygn
北京经济技术开发区	uyxa
九八规范王码助记词	vwfy
全国政协常委会委员	wlgk
全国人大常委会委员	wlwk
全心全意为人民服务	wnwt
计划经济与市场调节	yaxa
讲学习讲政治讲正气	yinr
高新技术产业开发区	yura
劳动和社会保障部	aftu
工农业生产第一线	apox
巧妇难为无米之炊	avco
工商行政管理部门	aytu
取其精华去其糟粕	baoo
取之不尽用之不竭	bpdu
台湾民主自治同盟	cinj
对外贸易经济合作	cqqw
在某些特殊情况下	dahg
成事不足败事有余	dgdw
有一分热发一分光	dgwi
石油天然气总公司	dign
在新的历史条件下	durg
有比较才能有鉴别	dxlk
在主席台就座的有	dyod
爱汉字就是爱祖国	eipl
进行正式友好访问	ftgu
