啊	a_
按	a2
不	b_
吧	b2
才	c_
此	c2
的	d_
打	d2
二	e_
嗯	e2
非	f_
发	f2
个	g_
管	g2
和	h_
化	h2
出	i_
重	i2
就	j_
见	j2
可	k_
块	k2
了	l_
立	l2
没	m_
美	m2
你	n_
哪	n2
哦	o_
噢	o2
平	p_
漂	p2
去	q_
期	q2
人	r_
入	r2
三	s_
四	s2
他	t_
她	t2
是	u_
十	u2
这	v_
之	v2
我	w_
位	w2
小	x_
性	x2
一	y_
由	y2
在	z_
子	z2
：	;_
阿	aa_
昂	ah_
爱	ai_
安	an_
奥	ao_
安全	aq_
按照	av_
安排	ap_
按错	ac_
按时	au_
安静	aj_
昂贵	ag_
安定	ad_
安慰	aw_
爱惜	ax_
安保	ab_
安分	af_
拗口	ak_
按理	al_
黯然	ar_
暗算	as_
凹凸	at_
安逸	ay_
暗自	az_
暧昧	am_
挨饿	ae_
盎	ah2
哎	ai2
俺	an2
敖	ao2
凹	ao3
别人	br_
把	ba_
宾	bb_
报	bc_
白	bd_
本	bf_
帮	bh_
比	bi_
办	bj_
并	bk_
边	bm_
表	bn_
拨	bo_
别	bp_
部	bu_
被	bw_
必须	bx_
不同	bt_
保证	bv_
并且	bq_
必要	by_
不再	bz_
比赛	bs_
本来	bl_
不饿	be_
半	bj2
甭	bg_
滨	bb2
宝	bc2
笨	bf2
蹦	bg2
逼	bi2
背	bw2
八	ba2
摆	bd2
磅	bh2
背景	bj3
兵	bk2
便	bm2
婊	bn2
播	bo2
憋	bp2
布	bu2
搏	bo3
鳖	bp3
擦	ca_
草	cc_
菜	cd_
测	ce_
岑	cf_
曾	cg_
藏	ch_
次	ci_
参	cj_
错	co_
窜	cr_
从	cs_
粗	cu_
催	cv_
存	cy_
凑	cz_
才能	cn_
错误	cw_
采取	cq_
参考	ck_
从来	cl_
聪明	cm_
从不	cb_
从头	ct_
才行	cx_
存盘	cp_
从前	cq2
村	cy2
猜	cd2
操	cc2
册	ce2
层	cg2
苍	ch2
词	ci2
惭	cj2
措	co2
蹿	cr2
丛	cs2
醋	cu2
蹭	cg3
沧	ch3
锉	co3
蹙	cu3
大	da_
到	dc_
代	dd_
得	de_
等	dg_
当	dh_
地	di_
但	dj_
定	dk_
点	dm_
调	dn_
多	do_
跌	dp_
丢	dq_
段	dr_
动	ds_
读	du_
对	dv_
得	dw_
顿	dy_
都	dz_
代表	db_
地方	df_
东西	dx_
到了	dl_
代替	dt_
带	dd2
掉	dn2
答	da2
道	dc2
冻	ds2
逗	dz2
得到	dd3
德	de2
第	di2
单	dj2
丁	dk2
电	dm2
电脑	dn3
夺	do2
断	dr2
队	dv2
叮	dk3
堕	do3
额	ee_
诶	ei_
恩	en_
而	er_
而且	eq_
儿童	et_
而已	ey_
儿子	ez_
恶搞	eg_
而不	eb_
鹤	eh_
十	eu_
耳机	ej_
儿科	ek_
恶劣	el_
二者	ev_
额外	ew_
而非	ef_
恶毒	ed_
噩梦	em_
恩赐	ec_
恩爱	ea_
饿死	es_
儿戏	ex_
恶评	ep_
偶尔	eo_
欸	ei2
恶	ee2
摁	en2
儿	er2
呃	ee3
法	fa_
分	ff_
风	fg_
放	fh_
反	fj_
佛	fo_
副	fu_
费	fw_
否	fz_
方面	fm_
发现	fx_
非常	fi_
方便	fb_
否则	fz2
反应	fy_
分配	fp_
放弃	fq_
繁体	ft_
反对	fd_
反而	fe_
否认	fr_
放松	fs_
反馈	fk_
烦恼	fn_
反正	fv_
讽刺	fc_
费了	fl_
分别	fb2
番	fj2
发送	fs2
份	ff2
封	fg2
父	fu2
罚	fa2
房	fh2
附件	fj3
飞	fw2
坊	fh3
光	gl_
嘎	ga_
高	gc_
该	gd_
各	ge_
跟	gf_
更	gg_
刚	gh_
干	gj_
怪	gk_
过	go_
关	gr_
共	gs_
古	gu_
贵	gv_
给	gw_
挂	gx_
滚	gy_
够	gz_
功能	gn_
过程	gi_
构	gz2
根本	gb_
过去	gq_
沟通	gt_
公平	gp_
干嘛	gm_
刚刚	gg2
关系	gx2
公	gs2
赶	gj2
告	gc2
改	gd2
哥	ge2
官	gr2
故	gu2
伽	ga2
糕	gc3
根	gf2
感觉	gj3
乖	gk2
国	go2
公司	gs3
鬼	gv2
规则	gz3
混	hy_
哈	ha_
好	hc_
还	hd_
何	he_
很	hf_
横	hg_
行	hh_
含	hj_
坏	hk_
黄	hl_
或	ho_
换	hr_
红	hs_
户	hu_
会	hv_
黑	hw_
话	hx_
回忆	hy2
后	hz_
湖南	hn_
好处	hi_
后面	hm_
回去	hq_
害怕	hp_
何必	hb_
后天	ht_
狠	hf2
华	hx2
乎	hu2
浩	hc2
海	hd2
合	he2
回复	hf3
恒	hg2
喊	hj2
怀	hk2
皇	hl2
火	ho2
欢	hr2
宏	hs2
回	hv2
嘿	hw2
候	hz2
壕	hc3
槐	hk3
窗	il_
差	ia_
超	ic_
拆	id_
车	ie_
陈	if_
成	ig_
长	ih_
吃	ii_
产	ij_
揣	ik_
戳	io_
传	ir_
冲	is_
处	iu_
吹	iv_
纯	iy_
抽	iz_
产品	ip_
成为	iw_
出现	ix_
传统	it_
成本	ib_
承诺	in_
重启	iq_
沉默	im_
柴	id2
持	ii2
扯	ie2
程	ig2
愁	iz2
查	ia2
朝	ic2
程度	id3
臣	if2
场	ih2
尝尝	ii3
馋	ij2
踹	ik2
啜	io2
川	ir2
虫	is2
春	iy2
岔	ia3
龊	io3
进	jb_
几	ji_
经	jk_
将	jl_
间	jm_
叫	jn_
接	jp_
久	jq_
卷	jr_
据	ju_
加	jx_
均	jy_
解决	jj_
结果	jg_
今天	jt_
精彩	jc_
简单	jd_
金额	je_
几乎	jh_
解放	jf_
简直	jv_
骄傲	ja_
计算	js_
节奏	jz_
几位	jw_
奇偶	jo_
假如	jr2
尽管	jg2
渐渐	jj2
极致	jv2
绝对	jd2
九	jq2
决	jt2
今	jb2
极	ji2
件	jm2
举	ju2
家	jx2
精	jk2
江	jl2
教	jn2
解	jp2
极其	jq3
军	jy2
可怕	kp_
快	kk_
卡	ka_
靠	kc_
开	kd_
克	ke_
肯	kf_
坑	kg_
抗	kh_
看	kj_
况	kl_
扩	ko_
宽	kr_
空	ks_
酷	ku_
亏	kv_
剋	kw_
夸	kx_
困	ky_
口	kz_
可能	kn_
困难	kn2
开头	kt_
昆明	km_
看出	ki_
恐怖	kb_
况且	kq_
抠	kz2
