𪨊	ssur
啊	a_
不	b_
才	c_
的	d_
二	e_
非	f_
个	g_
和	h_
出	i_
就	j_
可	k_
了	l_
没	m_
你	n_
哦	o_
平	p_
去	q_
人	r_
三	s_
他	t_
是	u_
这	v_
我	w_
小	x_
一	y_
在	z_
阿	aa_
昂	ah_
爱	ai_
安	an_
奥	ao_
把	ba_
滨	bb_
报	bc_
白	bd_
本	bf_
蹦	bg_
帮	bh_
比	bi_
办	bj_
并	bk_
边	bm_
表	bn_
拨	bo_
别	bp_
部	bu_
被	bw_
擦	ca_
草	cc_
菜	cd_
测	ce_
岑	cf_
曾	cg_
藏	ch_
次	ci_
参	cj_
错	co_
窜	cr_
从	cs_
粗	cu_
催	cv_
村	cy_
凑	cz_
大	da_
到	dc_
代	dd_
得	de_
等	dg_
当	dh_
地	di_
但	dj_
定	dk_
点	dm_
调	dn_
多	do_
跌	dp_
丢	dq_
段	dr_
动	ds_
读	du_
对	dv_
得	dw_
顿	dy_
都	dz_
额	ee_
欸	ei_
恩	en_
而	er_
鹤	eh_
十	eu_
法	fa_
分	ff_
风	fg_
放	fh_
反	fj_
佛	fo_
副	fu_
费	fw_
否	fz_
嘎	ga_
高	gc_
该	gd_
各	ge_
跟	gf_
更	gg_
刚	gh_
干	gj_
怪	gk_
光	gl_
过	go_
关	gr_
共	gs_
古	gu_
贵	gv_
给	gw_
挂	gx_
滚	gy_
够	gz_
哈	ha_
好	hc_
还	hd_
何	he_
很	hf_
横	hg_
行	hh_
含	hj_
坏	hk_
黄	hl_
或	ho_
换	hr_
红	hs_
户	hu_
会	hv_
黑	hw_
话	hx_
混	hy_
后	hz_
差	ia_
超	ic_
拆	id_
车	ie_
陈	if_
成	ig_
长	ih_
吃	ii_
产	ij_
揣	ik_
窗	il_
戳	io_
传	ir_
冲	is_
处	iu_
吹	iv_
纯	iy_
抽	iz_
进	jb_
几	ji_
经	jk_
将	jl_
间	jm_
叫	jn_
接	jp_
久	jq_
卷	jr_
据	ju_
加	jx_
均	jy_
卡	ka_
靠	kc_
开	kd_
克	ke_
肯	kf_
坑	kg_
抗	kh_
看	kj_
快	kk_
况	kl_
扩	ko_
宽	kr_
空	ks_
酷	ku_
亏	kv_
剋	kw_
夸	kx_
困	ky_
口	kz_
拉	la_
林	lb_
老	lc_
来	ld_
乐	le_
冷	lg_
浪	lh_
里	li_
另	lk_
两	ll_
连	lm_
料	ln_
落	lo_
列	lp_
刘	lq_
乱	lr_
龙	ls_
路	lu_
率	lv_
类	lw_
论	ly_
楼	lz_
吗	ma_
民	mb_
毛	mc_
买	md_
么	me_
们	mf_
梦	mg_
忙	mh_
米	mi_
慢	mj_
名	mk_
面	mm_
秒	mn_
末	mo_
灭	mp_
目	mu_
每	mw_
某	mz_
那	na_
您	nb_
闹	nc_
呢	ne_
嫩	nf_
能	ng_
囊	nh_
泥	ni_
难	nj_
宁	nk_
年	nm_
鸟	nn_
挪	no_
捏	np_
牛	nq_
暖	nr_
弄	ns_
虐	nt_
怒	nu_
女	nv_
内	nw_
嗯	og_
喔	oo_
欧	ou_
怕	pa_
品	pb_
跑	pc_
排	pd_
盆	pf_
碰	pg_
旁	ph_
批	pi_
盘	pj_
凭	pk_
片	pm_
票	pn_
破	po_
撇	pp_
普	pu_
配	pw_
剖	pz_
亲	qb_
其	qi_
请	qk_
强	ql_
前	qm_
桥	qn_
且	qp_
求	qq_
全	qr_
穷	qs_
却	qt_
区	qu_
恰	qx_
群	qy_
绕	rc_
热	re_
任	rf_
仍	rg_
让	rh_
日	ri_
然	rj_
若	ro_
软	rr_
容	rs_
如	ru_
肉	rz_
撒	sa_
扫	sc_
赛	sd_
色	se_
森	sf_
僧	sg_
四	si_
散	sj_
所	so_
算	sr_
送	ss_
苏	su_
岁	sv_
搜	sz_
她	ta_
套	tc_
太	td_
特	te_
腾	tg_
汤	th_
体	ti_
谈	tj_
听	tk_
天	tm_
调	tn_
托	to_
贴	tp_
团	tr_
同	ts_
图	tu_
推	tv_
头	tz_
啥	ua_
少	uc_
晒	ud_
设	ue_
深	uf_
生	ug_
上	uh_
时	ui_
山	uj_
帅	uk_
双	ul_
说	uo_
拴	ur_
数	uu_
水	uv_
谁	uw_
顺	uy_
受	uz_
扎	va_
找	vc_
着	ve_
真	vf_
正	vg_
长	vh_
只	vi_
占	vj_
拽	vk_
装	vl_
桌	vo_
转	vr_
中	vs_
主	vu_
追	vv_
抓	vx_
周	vz_
挖	wa_
外	wd_
问	wf_
翁	wg_
王	wh_
完	wj_
握	wo_
无	wu_
为	ww_
新	xb_
系	xi_
行	xk_
想	xl_
先	xm_
笑	xn_
些	xp_
修	xq_
选	xr_
熊	xs_
学	xt_
需	xu_
下	xx_
亚	ya_
因	yb_
要	yc_
也	ye_
样	yh_
以	yi_
眼	yj_
应	yk_
哟	yo_
元	yr_
用	ys_
月	yt_
与	yu_
云	yy_
有	yz_
咋	za_
早	zc_
再	zd_
则	ze_
怎	zf_
增	zg_
藏	zh_
字	zi_
做	zo_
总	zs_
组	zu_
最	zv_
贼	zw_
走	zz_
腌	aao_
吖	aak_
嗄	aakw
阿	aae_
阿	aaek
腌	aaod
盎	ahy_
肮	aho_
盎	ahym
肮	ahoj
昂	ahoe
哎	aikx
唉	aik_
艾	aic_
挨	aif_
爱	aipy
埃	ait_
矮	aiu_
哀	aiw_
癌	aib_
嗳	aiky
碍	aiuc
暧	aio_
嫒	ain_
隘	aie_
霭	aiy_
蔼	aicv
皑	aibj
爱	aip_
艾	aicx
矮	aiun
癌	aibe
暧	aioy
嫒	ainy
隘	aiem
霭	aiyv
按	anf_
俺	anr_
案	anb_
暗	ano_
安	anbn
岸	ane_
庵	ang_
胺	anon
氨	anq_
黯	anh_
鞍	angn
谙	any_
铵	anj_
桉	anm_
鹌	and_
按	anfn
俺	anrd
暗	anoo
岸	aneg
庵	angd
氨	anqn
黯	anho
谙	anyo
桉	anmn
鹌	andn
熬	aof_
傲	aor_
澳	aod_
嗷	aok_
奥	aopd
袄	aop_
敖	aofw
凹	aol_
拗	aofl
鳌	aofa
坳	aot_
獒	aofq
翱	aob_
螯	aofi
骜	aofm
懊	aox_
遨	aoz_
鏊	aofj
鏖	aog_
熬	aofh
傲	aorw
澳	aodd
嗷	aokw
袄	aopy
凹	aola
坳	aotl
翱	aobx
懊	aoxd
遨	aozw
鏖	aogj
欸	ais_
欸	aisr
瑷	aiwy
锕	aaj_
锕	aajk
吖	aaky
啊	aakk
卬	ahp_
