当一天和尚撞一天钟	dytv
我不入地狱谁入地狱	wbry
丈二和尚摸不着头脑	vehn
做一天和尚撞一天钟	zytv
阿拉伯联合酋长国	albg
百尺竿头更进一步	bugb
不经一事不长一智	bjyv
不入虎穴焉得虎子	brhz
比上不足比下有余	biby
苍蝇不叮无缝的蛋	cybd
道高一尺，魔高一丈	dgyv
多一事不如少一事	dyii
狗嘴里吐不出象牙	gzly
翻手为云，覆手为雨	fiwy3
癞蛤蟆想吃天鹅肉	lhmr
急惊风撞着慢郎中	jjfv
家家有本难念的经	jjyj2
己所不欲勿施于人	jsbr2
你可不可以告诉我	nkbw
巧妇难为无米之炊	qfnu
千军易得，一将难求	qjyq2
人无远虑，必有近忧	rwyy2
青出于蓝而胜于蓝	quyl3
仇人相见分外眼红	urxh
中央人民广播电台	vyrt
执子之手，与子偕老	vzvl
智者千虑，必有一失	vvqi2
燕雀安知鸿鹄之志	yqav
新疆维吾尔自治区	xjwq2
澳门特别行政区	amtq
布宜诺斯艾利斯	byns
巴布亚新几内亚	bbyy2
不管三七二十一	bgsy
不识庐山真面目	bilm
不到长城非好汉	bduh
饱汉不知饿汉饥	bhbj
不见棺材不落泪	bjgl
不看僧面看佛面	bksm
不为五斗米折腰	bwwy
此地无银三百两	cdwl
聪明反被聪明误	cmfw
打破沙锅问到底	dpid
打开天窗说亮话	dkth
道不同不相为谋	dbtm
得来全不费工夫	dlqf
大树底下好乘凉	didl
大水冲了龙王庙	dium
多行不义必自毙	dxbb
东一榔头西一棒	dylb
打破砂锅问到底	dpid2
得饶人处且饶人	drrr2
十一届三中全会	iyjh
广西壮族自治区	gxvq
是可忍孰不可忍	ikrr
身在曹营心在汉	izch
山重水复疑无路	iuil
上梁不正下梁歪	ilbw
神龙见首不见尾	iljw
山穷水尽疑无路	iqil
身在福中不知福	izff
敢把皇帝拉下马	gbhm
功夫不负有心人	gfbr
各人自扫门前雪	grzx
管他三七二十一	gtsy
好汉不吃眼前亏	hhbk
画虎画皮难画骨	hhhg
好马不吃回头草	hmbc
好心当成驴肝肺	hxdf
放之四海而皆准	fvsv2
俯首甘为孺子牛	fign2
胜败乃兵家常事	ibni2
山雨欲来风满楼	iyyl2
是可忍，孰不可忍	ikrr2
好了疮疤忘了痛	hlut2
横眉冷对千夫指	hmlv2
高等教育出版社	gdji3
横挑鼻子竖挑眼	htby3
树欲静而风不止	iyjv4
联产承包责任制	luuv
来而不往非礼也	leby
柳暗花明又一村	lahc
浪子回头金不换	lzhh
敬酒不吃吃罚酒	jjbj
解铃还须系铃人	jlhr
今朝有酒今朝醉	jvyz
近水楼台先得月	jily2
拒人于千里之外	jryw2
宁夏回族自治区	nxhq
牛不喝水强按头	nbht
赔了夫人又折兵	plfb
情人眼里出西施	qryi
清官难断家务事	qgni
千里姻缘一线牵	qlyq
强中更有强中手	qvgi
人怕出名猪怕壮	rpuv
人心不足蛇吞象	rxbx
冒天下之大不韪	mtxw
磨刀不误砍柴工	mdbg
莫管他人瓦上霜	mgti
眉毛胡子一把抓	mmhv
三个和尚没水吃	sghu
四海之内皆兄弟	shvd
三句话不离本行	sjhh
色字头上一把刀	sztd
你能不能告诉我	nnbw2
哪管他人瓦上霜	ngti2
强将手下无弱兵	qjib2
死猪不怕开水烫	svbt2
牵一发而动全身	qyfi3
名不正则言不顺	mbvi3
三人行，必有我师	srxi3
我可不可以查询	wkbx
无可奈何花落去	wknq
王顾左右而言他	wgzt
为他人作嫁衣裳	wtri
天生我材必有用	tiwy
跳到黄河洗不清	tdhq
偷鸡不着蚀把米	tjbm
踏破铁鞋无觅处	tptu
听其言而观其行	tqyx
天若有情天亦老	tryl
赤橙黄绿青蓝紫	uuhz
车到山前必有路	udil
初生牛犊不怕虎	uinh
长江后浪推前浪	ujhl
朝闻道，夕死可矣	vwdy
中华人民共和国	vhrg
中国人民解放军	vgrj
中国社会科学院	vgiy
置之死地而后生	vvsi
知其不可而为之	vqbv
竹篮打水一场空	vldk
这山望着那山高	viwg
占着茅坑不拉屎	vvmi
我能不能问一下	wnbx2
我想请你告诉我	wxqw2
无事不登三宝殿	wibd2
天涯何处无芳草	tyhc2
天下乌鸦一般黑	txwh2
只重衣衫不重人	vvyr2
我可不可以询问	wkbw3
船到江心补漏迟	udju3
我可不可以问问	wkbw4
众人拾柴火焰高	vrig4
知人知面不知心	vrvx5
有缘千里来相会	yyqh
英雄无用武之地	yxwd
有钱能使鬼推磨	yqnm
一失足成千古恨	yizh
一个萝卜一个坑	yglk
一个巴掌拍不响	ygbx
一寸光阴一寸金	ycgj
一将功成万骨枯	yjgk
远来和尚好看经	ylhj
羊毛出在羊身上	ymui
有其父必有其子	yqfz
