久旱逢甘霖，他乡遇故知。洞房花烛夜，金榜题名时。	sdlu
知我者谓我心忧，不知我者谓我何求	vwvq
害人之心不可有，防人之心不可无	hrvw
抽刀断水水更流，举杯消愁愁更愁	iddi
树欲静而风不止，子欲养而亲不待	uyjd
先天下之忧而忧，后天下之乐而乐	xtxl
衣带渐宽终不悔，为伊消得人憔悴	ydjc
你走你的阳关道我过我的独木桥	nznq
最危险的地方就是最安全的地方	zwxf
念天地之悠悠，独怆然而涕下	ntdx
穷则独善其身，富则妻妾成群	qzdq
人见人爱花见花开车见车爆胎	rjrt
五笔字型计算机汉字输入技术	wbzu
走有中国特色的社会主义道路	zyvl
没吃过猪肉还没见过猪跑啊	miga
天有不测风云人有旦夕祸福	tybf
鼠牛虎兔龙蛇马羊猴鸡狗猪	unhv
中国特色社会主义理论体系	vgtx
真心是否比不上一千朵玫瑰	vxug
愿得一心人，白头不相离。	ydyl
有中国特色的社会主义道路	yvgl
被人卖了还帮人家数钱呢	brmn
从俭入奢易，从奢入俭难	cjrn
发图不发种，菊花万人捅	ftbt
没吃过猪肉还没见过猪跑	migp
没有共产党就没有新中国	mygg
您拨打的电话正在通话中	nbdv
让暴风雨来得更猛烈些吧	rbfb
让暴风雨来得更猛烈些吧	rpfb
人闲屁事多，矫情又啰嗦	rxps
西安电子科技大学出版社	xadu
压垮骆驼的最后一根稻草	yklc
压死骆驼的最后一根稻草	yslc
子系中山狼，得志便猖狂	zxvk
玻耳兹曼积分微分方程	beci
半合成沸石裂化催化剂	bhij
被人卖了还帮人家数钱	brmq
波斯尼亚和黑塞哥维那	bsnn
不听老人言吃亏在眼前	btlq
不知道从什么时候开始	bvdu
不做亏心事不怕鬼敲门	bzkm
孢子体自交不亲和系统	bztt
丹佛儿童发展筛选测验	dfey
对方球门线后触地得分	dfqf
电可擦编程只读存储器	dkcq
动力定位半潜式钻井船	dldi
大连市经济技术开发区	dluq
二十年后又是一条好汉	eunh
反而酣畅淋漓伴侣月比	fehb
国防科学技术工业委员	gfky
干酪根降解数学模拟法	glgf
过了这个村就没这个店	glvd
干式自动喷洒灭火系统	guzt
好的开始是成功的一半	hdkb
核搭载步行式主战坦克	hdzk
成人型呼吸窘迫综合征	irxv
长他人志气灭自己威风	itrf
间接加热热水供应系统	jjjt
既然你诚心诚意的问了	jrnl
可擦可编程只读存储器	kckq
可控源声频大地电磁法	kkyf
可怜之人必有可恨之处	klvi
空心阴极放电光谱分析	kxyx
拉丁美洲自由贸易联盟	ldmm
兰坪白族普米族自治县	lpbx
零知识交互式证明系统	lvut
临渊羡鱼不如退而结网	lyxw
你他妈的就是一个白痴	ntmi
颞下颌关节侧位体层片	nxhp
颞下颌关节紧张综合征	nxhv
欧洲分子生物学实验室	ovfu
普洱哈呢族彝族自治县	pehx
纤维性颞下颌关节强直	qwxv
人民之间的联系和交流	rmvl
三百六十行行行出状元	sbly
特发性功能性低血糖症	tfxv
通过外交途径进行谈判	tgwp
同一个世界同一个梦想	tygx
通用异步接收发送设备	tyyb
湿式自动喷水灭火系统	uuzt
圣文森特和格林纳丁斯	uwss
水下释放塞注水泥系统	uxut
升压高电平时钟发生器	uygq
镇宁布依族苗族自治县	vnbx
主要组织相容性复合体	vyzt
万般皆下品唯有读书高	wbjg
务川仡佬族苗族自治县	wiyx
韦克斯勒儿童智力量表	wksb
威利斯垂直距离测量尺	wlsi
我书读得少你不要骗我	wudw
新方世纪科技有限公司	xfus
新疆木垒哈萨克自治县	xjmx
想起那天夕阳下的奔跑	xqnp
油品里德蒸气压测定仪	yply
一瓶子不满半瓶子晃荡	ypzd
阿坝藏族羌族自治州	abcv
爱道画眉深浅入时无	adhw
安康地区专利事务所	akds
安能摧眉折腰事权贵	ancg
爱上对方过后就哭了	audl
爱上一个不回家的人	auyr
白白吃了那么多苦头	bbit
别把我们想得那么弱	bbwr
冰冻三尺非一日之功	bdsg
冰冻三尺非一日之寒	bdsh
博尔塔拉蒙古自治州	betv
变更保险范围的条款	bgbk
半胱天冬氨酸蛋白酶	bgtm
北京国际图书博览会	bjgh
不积跬步无以至千里	bjkl
不怕贼偷就怕贼惦心	bpzx
不知从什么时候开始	bvcu
标准化大都市统计区	bvhq
不知暮雨朝云何山岑	bvmc
半殖民地半封建社会	bvmh
本着实事求是的原则	bvuz
不知我辈可是蓬蒿人	bvwr
不以规矩不能成方圆	bygy
采桑子书博山道中壁	cszb
残睡觉来人又远难忘	cujw
采用秘密窃取的方法	cymf
当断不断，反受其乱	ddbl
达尔罕茂明安联合旗	dehq
等浮电缆故障寻找器	dfdq
多发性纤维上皮增生	dfxu
道高一尺，魔高一丈	dgyv
电荷耦合器件延迟线	dhox
豆克复方珍珠暗疮片	dkfp
躲了初一躲不了十五	dliw
掉了毛的凤凰不如鸡	dlmj
单列直插式内存组件	dlvj
单片微波集成放大器	dpwq
大通回族土族自治县	dthx
待他年整顿乾坤事了	dtnl
动态随机存取存储器	dtsq
到什么时候说什么话	dumh
调制掺杂场效晶体管	dvcg
对外贸易经济合作部	dwmb
多形性低度恶性腺癌	dxxa
第一类拉格朗日方程	dyli
当一天和尚撞一天钟	dytv
二期愈合前庭成形术	eqyu
复方三维亚油酸胶丸	ffsw
复合太阳能加热系统	fhtt
妇立欣妇炎康复胶囊	flxn
非确定型有穷自动机	fqdj
凡事预则立不预则废	fuyf
氟硝安定催眠镇静药	fxay
国防科学技术委员会	gfkh
公认的国际关系原则	grdz
湖北长信律师事务所	hbis
和布克赛尔古自治县	hbkx
湖北省长信律师事务	hbuw
活动依存性强化机制	hdyv
环核苷酸磷酸二酯酶	hhgm
混合性酸碱平衡障碍	hhxa
缓冲场效晶体管逻辑	hiij
合成树脂溶液系涂料	hiul
哈瑙咬合关系组合图	hnyt
火山灰质硅酸盐水泥	huhn
回音必天舒胃炎胶囊	hybn
汉字阴阳双极输入法	hzyf
吃不到葡萄说葡萄酸	ibds
吃别人嚼过的馍不香	ibrx
超导核磁共振波谱仪	idhy
超短曲率半径水平井	idqj
穿过你的黑发我的手	ignu
成纤维细胞生长因子	iqwz
成也萧何，败也萧何	iyxh
重足而立，侧目而视	izeu
激光探针质量分析仪	jgty
聚光式太阳能集热器	jguq
娟娟姮娥三五满还亏	jjhk
监控和数据采集系统	jkht
即念奴娇之隔指声也	jnny
棘皮瘤型成釉细胞瘤	jpll
金日牌美国洋参冲剂	jrpj
金日牌美国洋参胶囊	jrpn
姜太公钓鱼愿者上钩	jtgg
晶体生长坩埚下降法	jtuf
就这么愉快地决定了	jvml
甲状旁腺机能减退症	jvpv
金宵美好家园安全套	jxmt
君子爱财，取之有道	jzad
将在外君命有所不受	jzwu
考百海王学生营养液	kbhy
可擦编程只读存储器	kcbq
烤瓷熔附金属修复体	kcrt
扩大计划调整委员会	kdjh
空间数据库管理系统	kjut
可控表面孔度支持体	kkbt
克林霉素甲硝唑搽剂	klmj
快速蛋白质液相层析	ksdx
卡塞格伦反射面天线	ksgx
控制电位库仑滴定法	kvdf
可以看下你的照片吗	kykm
酪氨酸蛋白激酶受体	last
临兵斗者皆阵列在前	lbdq
拉丁美洲经济委员会	ldmh
裂缝孔隙度分布指数	lfku
联合国贸易开发会议	lhgy
临界通路测试产生法	ljtf
拉开菊花攻防都是爱	lkja
拉普拉斯双曲型方程	lpli
硫酸阿米卡星注射液	lsay
硫酸卡那霉素注射液	lsky
灵泰邦尼尼美舒利片	ltbp
临上轿现扎耳朵眼儿	luje
粒细胞集落刺激因子	lxbz
率先基本实现现代化	lxjh
米尔格拉姆服从实验	megy
马尔科夫尼科夫规则	mekz
民和回族土族自治县	mhhx
咪康唑氯倍他索乳膏	mkzg
米粒之珠，也放光华	mlvh
马列主义毛泽东思想	mlvx
蜜炼洋参川贝枇杷膏	mlyg
明天你是否依然爱我	mtnw
美中贸易全国理事会	mvmh
没有绝对的是非黑白	myjb
没有买卖就没有杀害	mymh
你的柔情我永远不懂	ndrd
你的眼睛背叛你的心	ndyx
南方菜豆花叶病毒组	nfcz
尼格罗澳大利亚人种	nglv
你还没跟我说明白呢	nhmn
你妈妈喊你回家吃饭	nmmf
念奴娇和徐尉游口湖	nnjh
男人哭吧哭吧不是罪	nrkz
脲受体的内源性配体	nutt
你是我的小呀小苹果	nuwg
你也太粗心大意了吧	nytb
脑衍生神经营养因子	nyuz
FlashBlue	offb
欧拉流体动力学方程	olli
欧洲分子生物学学会	ovfh
欧洲经济与货币同盟	ovjm
普朗特积分微分方程	plti
菩萨蛮书江西造口壁	psmb
七百年谷子八百年糠	qbnk
求得公平合理的解决	qdgj
确定和随机佩特里网	qdhw
奇怪每次都是你的错	qgmc
强化过氧化氢消毒液	qhgy
千军易得，一将难求	qjyq
恰似一江春水向东流	qsyl
群众的眼睛是雪亮的	qvdd
轻质可燃气体探测器	qvkq
全心全意为人民服务	qxqw
区组设计的关联矩阵	qzuv
日本国际贸易促进会	rbgh
人绒毛膜促性腺激素	rrms
人体胎盘组织注射液	rtty
热稳聚晶金刚石钻头	rwjt
人无远虑，必有近忧	rwyy
让一部分人先富起来	rybl
然意所耽不能自已也	rysy
四分之一波长变换器	sfvq
斯堪的纳维亚法学派	skdp
丝裂原活化蛋白激酶	slym
扫描俄歇电子能谱学	smex
三日不见当刮目相看	srbk
三天打鱼，两天晒网	stdw
赛特欣复方莪术油栓	stxu
所以传道授业解惑也	syiy
提供午餐的走读学生	tgwu
天琪阿奇霉素分散片	tqap
天堂里没有车来车往	ttlw
头痛医头，脚痛医脚	ttyj
泰山崩于前而色不变	tubb
台湾大学附属医学院	twdy
铜线分布式数据接口	txfk
天下没有白吃的午餐	txmc
太阳最红毛主席最亲	tyzq
天子犯法与庶民同罪	tzfz
叹坐客多少风流名胜	tzku
士别多日当刮目相看	ubdk
肾活素血管紧张素系	uhsx
说起来容易做起来难	uqln
深入持久地开展下去	uriq
数人头都数不过来了	urtl
时无英雄使竖子成名	uwym
双线控制井下安全阀	uxkf
水下摄象机起下装置	uxnv
正电子发射断层扫描	vdzm
丈二和尚摸不着头脑	vehn
中国汽车工业联合会	vgqh
中共中央政治局常委	vgvw
中华人民共和国政府	vhrf
直接耦合晶体管逻辑	vjoj
中军网军事文学书库	vjwk
只恐怕寒难近玉壶冰	vkpb
争奈愁来一日却为长	vnii
知其然不知其所以然	vqrr
中外合作经营企业法	vwhf
执子之手，与子偕老	vzvl
我被青春撞了一下腰	wbqy
我不入地狱谁入地狱	wbry
尾部装有马达的小艇	wbvt
问苍茫天地谁主沉浮	wcmf
温度敏感受性突变体	wdmt
我读书少你不要骗我	wduw
唯女子与小人难养也	wnzy
渭舒服维颠茄铝胶囊	wufn
王永民电脑有限公司	wyms
王子犯法与庶民同罪	wzfz
小儿清热解毒口服液	xeqy
新技术视窗操作系统	xjut
想你的三百六十五天	xndt
星牌美国西洋参含片	xpmp
新平彝族傣族自治县	xpyx
血清阴性脊柱关节病	xqyb
肖特基集成注入逻辑	xtjj
学无先后，达者为先	xwxx
想想还有点小激动呢	xxhn
一次奋不顾身的爱情	ycfq
眼儿媚萍乡道中乍晴	yemq
一夫当关，万夫莫开	yfdk
愿父的旨意行在地上	yfdu
一场奋不顾身的爱情	yifq
一种长而宽松的外套	yiit
依旧竹声新月似当年	yjvn
益母草女士健康洗液	ymcy
夜猫子进宅无事不来	ymzl
严诺沙诺氟沙星胶囊	ynun
燕雀安知鸿鹄之志哉	yqaz
雅瑞阿奇霉素分散片	yrap
盐酸萘甲唑林滴鼻液	ysny
月兔空药扶桑已成薪	ytkx
欲为大树，莫与草争	ywdv
异位激素分泌综合症	ywjv
自动测试数据生成器	zdcq
再林阿莫西林干糖浆	zlaj
在那桃花盛开的地方	zntf
在哪摔交在哪爬起来	znul
左炔诺孕酮炔雌醚片	zqnp
自琐闼以病得请奉祠	zstc
自体免疫溶血性贫血	ztmx
自是人生长恨水长东	zurd
自我介绍一下而已啦	zwjl
自由基引发催化作用	zyjy
做一日和尚撞一天钟	zyrv
再也容不下其它东西	zyrx
做一天和尚撞一天钟	zytv
傲不可长志不可满	abkm
鞍不离马甲不离身	ablu
按对平衡区组设计	adpj
安徽省教育委员会	ahuh
阿拉伯联合酋长国	albg
安理会常任理事国	alhg
阿拉斯加深海鱼油	alsy
爱美之心人皆有之	amvv
按内容存取存储器	anrq
爱斯基摩人的木排	asjp
安于故俗溺于旧闻	aygw
爱因斯坦等效原理	aysl
矮子面前不说短话	azmh
比比舒维颠茄胶囊	bbun
病从口入祸从口出	bcki
菠菜铁氧还原蛋白	bctb
不达目的誓不罢休	bdmx
波尔兹曼分布定律	becl
波尔兹曼分布定律	bezl
爆发集落形成单位	bfjw
不干不净吃了没病	bgbb
表鬼臼毒噻吩糖苷	bgjg
补偿地层密度测井	bidj
百尺竿头更进一步	bigb
毕竟孩子是无辜的	bjhd
不经一事不长一智	bjyv
不立案理由通知书	blau
别拿版主不当干部	bnbb
吡诺克辛钠滴眼液	bnky
不怕一万就怕万一	bpyy
避其锐气击其惰归	bqrg
般若波罗蜜多心经	brbj
不入虎穴焉得虎子	brhz
不似春光胜似春光	bsig
丙酸氯倍他索软膏	bslg
卜算子修竹翠罗寒	bszh
冰炭不言冷热自明	btbm
比上不足比下有余	buby
不是鱼死就是网破	buyp
冰樟桉氟轻松贴膏	bvag
不知从什么时候起	bvcq
不知人间有羞耻事	bvru
百万买宅千万买邻	bwml
便无情到此也销魂	bwqh
八仙过海各显其能	bxgn
八仙过海各显神通	bxgt
丙烯酸酯类聚合物	bxsw
半线性偏微分方程	bxxi
不养儿不知父母恩	byee
表演平衡技巧的人	bypr
变压器耦合放大器	byqq
不在其位不谋其政	bzqv
促凝血酶原激酶原	cnxy
磁盘碎片整理工具	cpsj
醋酸可的松滴眼液	csky
从善如登从恶如崩	curb
藏之名山传之其人	cvmr
苍蝇不叮无缝的蛋	cybd
采油树导向喇叭口	cyuk
存在主义心理治疗	czvl
对苯二甲酸二甲酯	dbev
打不还手骂不还口	dbhk
大不列颠联合王国	dblg
东北人不是黑社会	dbrh
电磁场控制自动门	dcim
达到历史最高水平	ddlp
打倒日本帝国主义	ddry
地方各级人民政府	dfgf
单分子共轭碱消除	dfzi
胆固醇酯转移蛋白	dgib
大规模杀伤性武器	dgmq
道高益安势高益危	dgyw
大海啊亲爱的妈妈	dham
冬寒抱冰夏热握火	dhbh
冬虫草海狗三鞭丸	dicw
单齿额定升降能力	diel
东京爱乐交响乐团	djat
但金杯的砾银台润	djbr
冬练三九夏练三伏	dlsf
大门不出二门不迈	dmbm
大难不死必有后福	dnbf
多年的媳妇熬成婆	dndp
电平敏感扫描设计	dpmj
大千世界无奇不有	dquy
屌丝不哭站起来撸	dsbl
大头儿子小头爸爸	dteb
多脱氧核糖核苷酸	dtys
淡水工商管理专校	dugx
大市场发大财地方	duif
单指令流多数据流	dvll
对无核区承担义务	dwhw
对外贸易经济合作	dwmz
对小池闲立残妆浅	dxiq
带有二炔烯官能团	dyet
第一个吃螃蟹的人	dygr
倒易蒙特卡罗方法	dymf
打一枪换一个地方	dyqf
多一事不如少一事	dyuu
电子探针微区分析	dztx
二环己基碳二亚胺	ehja
二虎相斗必有一伤	ehxu
二甲基氨基偶氮苯	ejjb
二甲烯丙基焦磷酸	ejxs
二阶约化密度矩阵	ejyv
阿拉伯联合酋长国	elbg
二磷酸甘油酸支路	elsl
恶魔城月下夜想曲	emiq
儿女情长英雄气短	enqd
二人同心其利断金	ertj
饿死事小失节事大	esud
二十世纪九十年代	euud
二乙基焦碳酸乙酯	eyjv
复单连通解析李群	fdlq
复方氨基酸注射液	ffay
非负凸函数的极函	ffth
复方左炔诺孕酮片	ffzp
风高放火月黑杀人	fgfr
法国国家交响乐团	fggt
风机盘管空调系统	fjpt
弗罗贝尼乌斯态射	flby
焚林而田竭泽而渔	fley
粉煤灰硅酸盐水泥	fmhn
防民之口甚于防川	fmvi
肺泡表面活性物质	fpbv
肺泡蛋白质沉积症	fpdv
富强民主文明和谐	fqmx
风声鹤唳草木皆兵	fuhb
翻手为云覆手为雨	fuwy
分性别年龄死亡率	fxbl
放下屠刀立地成佛	fxtf
反射高能电子衍射	fygy
干部人事制度改革	gbrg
骨痹通抗骨增生丸	gbtw
公共卫生口腔医学	ggwx
公侯将相宁有种乎	ghjh
刚出狼窝又入虎口	gilk
枸椽酸喷托维林片	gisp
国家导弹防御体系	gjdx
国际商用机器公司	gjus
国际信托投资公司	gjxs
国家兴亡匹夫有责	gjxz
国际自由劳工联盟	gjzm
管理程序调用中断	glid
归纳逻辑程序设计	gnlj
工农业生产第一线	gnyx
高清晰度数字电视	gqxu
改善农村金融服务	gunw
归师勿掩穷寇勿追	guwv
工业标准体系结构	gybg
狗咬刺猬无从下口	gyck
枸橼酸莫沙必利片	gysp
广义随机佩特里网	gysw
狗嘴里吐不出象牙	gzly
湖北省通信管理局	hbuj
合肥市教育委员会	hfuh
合成橡胶印模材料	hixl
好久不见甚是想念	hjbn
好借好还再借不难	hjhn
画面太美我不敢看	hmtk
河南蒙古族自治县	hnmx
和你在一起的日子	hnzz
和平共处五项原则	hpgz
活人不能让尿憋死	hrbs
好人死在证人手里	hrsl
哈萨克斯坦共和国	hskg
黑色素神经外胚瘤	hssl
荷属安的列斯群岛	huad
海上地球物理勘探	hudt
还是留在这里舒服	hulf
虎生三子必有一彪	husb
海上生产测试设备	huub
花椰菜花叶病毒组	hycz
涸泽而渔焚林而猎	hzel
汉字扩展内码规范	hzkf
汉字阴阳双极编码	hzym
火灾自动报警系统	hzzt
虫草氨基酸口服液	icay
超大规模集成电路	idgl
承担违约赔偿责任	idwr
肠侵染性大肠杆菌	iqrj
长庆新速效感冒片	iqxp
成人腹泻轮状病毒	irfd
传热介质油装载泵	irjb
仇人见面分外眼红	irjh
仇人相见分外眼红	irxh
赤条条来去无牵挂	ittg
春生夏长秋收冬藏	iuxc
场致发射显微镜学	ivfx
朝闻道，夕死可矣	iwdy
乘兴而往败兴而归	ixeg
创新儿童魔力画匠	ixej
持续健康快速发展	ixjv
出油管导向喇叭口	iygk
吃一回亏学一回乖	iyhg
重阳后一日极目亭	iyht
长阳土家族自治县	iytx
成则为王败则为寇	izwk
成则为王败则为贼	izwz
巨额财产来源不明	jecm
降钙素基因相关肽	jgst
酒过三巡菜过五味	jgsw
精诚所至金石为开	jisk
坚持四项基本原则	jisz
急惊风撞着慢郎中	jjfv
嫁鸡随鸡嫁狗随狗	jjsg
家家有本难念的经	jjyj
计量分离器关断盘	jlfp
家里也没什么牵挂	jlyg
寂寞让我如此美丽	jmrl
经脉脏腑相关研究	jmzj
静如处女动如脱兔	jrit
己所不欲勿施于人	jsbr
具体问题具体分析	jtwx
兼听则明偏信则暗	jtza
家事商业职业学校	juux
建筑抗震设计规范	jvkf
睫状神经营养因子	jvuz
渐万宝西成农事了	jwbl
金无足赤人无完人	jwzr
急性上呼吸道感染	jxur
具有国际先进水平	jygp
君子报仇十年不晚	jzbw
君子不立危墙之下	jzbx
家族性多发性腺癌	jzxa
箭在弦上不得不发	jzxf
君子一言快马一鞭	jzyb
肯德尔一致性系数	kdeu
咖啡节哀世界经济	kfjj
苦瓜活胰降糖胶囊	kghn
看成败，人生豪迈	kibm
扩充转移网络语法	kivf
可扩缩一致性接口	kksk
库勒压力栓钉系列	klyl
口腔淋巴上皮囊肿	kqlv
口腔粘膜下纤维化	kqvh
抗日民族统一战线	krmx
可是我就不明白了	kuwl
科学社会主义理论	kxul
拉不出屎来怨茅坑	lbik
萝卜青菜各有所爱	lbqa
澜沧拉祜族自治县	lclx
来的早不如来的巧	ldzq
邻菲咯啉亚铁离子	lfkz
拉格朗日必要条件	lglj
癞蛤蟆想吃天鹅肉	lgmr
癞蛤蟆想吃天鹅肉	lhmr
列车管理信息系统	ligt
列车自动控制系统	lizt
