^$y年$m月$d日$0h时$0mi分$0s秒	now_
^$X[极点目录]%freeime%	dirr
^$x[最小化桌面窗口]tray	tray
^$x[弹出CD]opencd	opencd
^$x[静音开关]mute	mute
^嘦巭好，兲嫑跑*_*!	joke
^$Y年$M月$D日	date
做一天和尚撞一天钟	wggq
巧妇难为无米之炊	avco
阿拉伯联合酋长国	brwl
^$h时$mi分	time
英雄无用武之地	adff
敬酒不吃吃罚酒	aigi
聪明反被聪明误	bjry
联产承包责任制	bubr
巴布亚新几内亚	cdgg
有过之而无不及	dfpe
布宜诺斯艾利斯	dpya
有钱能使鬼推磨	dqcy
胜败乃兵家常事	emeg
无事不登三宝殿	fggn
十一届三中全会	fgnw
远水救不了近火	fifo
远水解不了近渴	fiqi
赤橙黄绿青蓝紫	fsah
无可奈何花落去	fsdf
王顾左右而言他	gddw
来而不往非礼也	gdgb
一石激起千层浪	gdii
天涯何处无芳草	giwa
一失足成千古恨	grkn
不管三七二十一	gtdg
天生我材必有用	gtte
一个萝卜一个坑	gwaf
一个巴掌拍不响	gwck
不识庐山真面目	gyyh
此地无银三百两	hffg
小不忍则乱大谋	igvy
冒天下之大不韪	jggj
是可忍孰不可忍	jsvv
踏破铁鞋无觅处	kdqt
中华人民共和国	kwwl
车到山前必有路	lgmk
置之死地而后生	lpgt
赔了夫人又折兵	mbfr
山雨欲来风满楼	mfws
心有余而力不足	ndwk
情人眼里出西施	nwhy
宁夏回族自治区	pdla
初生牛犊不怕虎	ptrh
名不正则言不顺	qggk
狗嘴吐不出象牙	qkka
解铃还须系铃人	qqgw
打破沙锅问到底	rdiy
挟天子以令诸侯	rgbw
打开天窗说亮话	rggy
近水楼台先得月	rise
横挑鼻子竖挑眼	srth
醉翁之意不在酒	swpi
知其不可而为之	tagp
身在曹营心在汉	tdgi
长江后浪推前浪	tiri
香港特别行政区	tita
竹篮打水一场空	ttrp
新官上任三把火	upho
放之四海而皆准	yplu
广西壮族自治区	ysua
磨刀不误砍柴工	yvga
恭敬不如从命	aagw
英雄所见略同	adrm
斯堪的纳维亚	afrg
世界卫生组织	albx
世界贸易组织	alqx
出污泥而不染	biii
耳闻不如目见	bugm
陈谷子烂芝麻	bwby
鸡蛋里挑骨头	cnju
难登大雅之堂	cwdi
有限责任公司	dbgn
有志者事竟成	dffd
有一搭没一搭	dgrr
破题儿第一遭	djqg
太岁头上动土	dmuf
三句不离本行	dqgt
百闻不如一见	dugm
万变不离其宗	dygp
股份有限公司	ewdn
雷声大雨点小	ffdi
井水不犯河水	figi
真金不怕火炼	fqgo
无所不用其极	frgs
远亲不如近邻	fugw
求人不如求己	fwgn
天有不测风云	gdgf
天无绝人之路	gfxk
还治其人之身	giat
不足为外人道	gkyu
事实胜于雄辩	gpeu
天机不可泄露	gsgf
不可同日而语	gsmy
不得已而为之	gtnp
不登大雅之堂	gwdi
不食人间烟火	gwwo
不费吹灰之力	gxkl
不许百姓点灯	gydo
唯恐天下不乱	kagt
